Age,YOS,entry_age,start_sal,salary_increase,Salary,RemainingProb,DC_EEContrib,DC_ERContrib,DC_Contrib,DC_balance,RealDC_balance,RealPenWealth,RealHybridWealth,PVPenWealth
27,0,27,29138,0.10169427400809392,29138,1,2039.66,2039.66,4079.32,43704699085.9056,43704699085.9056,0,43704699085.9056,0
28,1,27,29138,0.08673568502023478,32101.167756047842,0.8671083841295026,2247.0817429233493,2247.0817429233493,4494.163485846699,46764032101.239,45734994720.03814,2564.713936430318,45734997284.752075,2564.713936430318
29,2,27,29138,0.05807856167341159,34885.48453131812,0.6820773850674452,2441.9839171922686,2441.9839171922686,4883.967834384537,50037518842.48921,47859607575.26721,5371.963962955082,47859612947.23118,5371.963962955082
30,3,27,29138,0.05084713700404696,36911.58329617713,0.5812877816107836,2583.810830732399,2583.810830732399,5167.621661464798,53540150045.4313,50082919097.23844,8400.859845293206,50082927498.09829,8400.859845293206
31,4,27,29138,0.048347137004046956,38788.43162907414,0.5160490257377108,2715.19021403519,2715.19021403519,5430.38042807038,57287965716.23315,52409514198.51307,11583.788313355002,52409525782.301384,11583.788313355002
32,5,27,29138,0.04584713700404695,40663.74124721709,0.46702436829262833,2846.461887305197,2846.461887305197,5692.923774610394,61298128746.74989,54844190865.87421,14905.447741090074,54844205771.321945,14905.447741090074
33,6,27,29138,0.04473142466936464,42528.057363275366,0.42720186576362595,2976.964015429276,2976.964015429276,5953.928030858552,65589003451.94617,57391969995.124146,18362.911655908923,57391988358.035805,18362.911655908923
34,7,27,29138,0.04223142466936464,44430.39795755514,0.3939789852845994,3110.12785702886,3110.12785702886,6220.25571405772,70180239647.51042,60058105725.78422,21952.670455842926,60058127678.45467,21952.670455842926
35,8,27,29138,0.04223142466936464,46306.756961929525,0.36727959074165273,3241.472987335067,3241.472987335067,6482.945974670134,75092862643.09186,62848096283.3193,25675.083873594987,62848121958.40317,25675.083873594987
36,9,27,29138,0.039731424669364634,48262.35728024983,0.3456525936668211,3378.3650096174883,3378.3650096174883,6756.730019234977,80349369511.05426,65767695304.623695,29525.788051085532,65767724830.41174,29525.788051085532
37,10,27,29138,0.039731424669364634,50179.88949289604,0.327505832499313,3512.5922645027235,3512.5922645027235,7025.184529005447,85973832133.55809,68822923722.7158,33508.22492731067,68822957230.94073,33508.22492731067
38,11,27,29138,0.03723142466936464,52173.607992200086,0.31082983381395857,3652.152559454006,3652.152559454006,7304.305118908012,91992007408.09169,72020082158.4717,37617.41791847034,72020119775.88962,37617.41791847034
39,12,27,29138,0.03611571233468232,54116.105747890644,0.297024120156781,3788.1274023523456,3788.1274023523456,7576.254804704691,98431455230.96323,75365763939.43143,41856.52393668193,75365805795.95537,41856.52393668193
40,13,27,29138,0.03611571233468232,56070.547455754706,0.2841386853725329,3924.93832190283,3924.93832190283,7849.87664380566,105321664673.38547,78866868670.98634,46219.980132725905,78866914890.96648,46219.980132725905
41,14,27,29138,0.034999999999999996,58095.57521811489,0.27210601053556577,4066.690265268043,4066.690265268043,8133.380530536086,112694189050.39911,82530616485.1761,50706.68146197138,82530667191.85756,50706.68146197138
42,15,27,29138,0.034999999999999996,60128.92035074891,0.26086422058657177,4209.024424552424,4209.024424552424,8418.048849104847,120582790417.30757,86364562929.6327,55319.38395011188,86364618249.01666,55319.38395011188
43,16,27,29138,0.03388428766531768,62233.43256302512,0.2503477382602361,4356.340279411758,4356.340279411758,8712.680558823517,129023594164.56795,90376614536.85551,60056.813155336946,90376674593.66867,60056.813155336946
