entry_age,Age,YOS,RealPenWealth
20,20,0,0
20,21,1,1161.8581907090465
20,22,2,2433.58927555107
20,23,3,3805.7296299632885
20,24,4,5247.649314856408
20,25,5,6752.416438409945
20,26,6,8318.705259729486
20,27,7,9944.925870585717
20,28,8,11631.241235893123
20,29,9,13375.674455155775
20,30,10,15179.784784147874
20,31,11,17041.317747402303
20,32,12,18961.70347876317
20,33,13,20938.42191474987
20,34,14,22970.972451713296
20,35,15,25060.603615261054
20,36,16,27206.73806199628
20,37,17,29410.596378974038
20,38,18,31671.526467668034
20,39,19,33990.72057773386
20,40,20,36366.9878255744
20,41,21,38801.47499182682
20,42,22,41290.91965932346
20,43,23,43836.359913379456
20,44,24,46438.852321154285
20,45,25,49099.472253212334
20,46,26,51819.314210625154
20,47,27,54599.49215771104
20,48,28,57441.13986050833
20,49,29,60345.41123108097
20,50,30,70892.8129171764
20,51,31,85686.94720074344
20,52,32,103396.88060174327
20,53,33,124576.14359447823
20,54,34,149883.6497700507
20,55,35,180096.37642772822
20,56,36,185179.81369691523
20,57,37,190184.63621747043
20,58,38,195065.56971505238
20,59,39,199802.70486305343
20,60,40,204374.122525809
20,61,41,208886.73532778095
20,62,42,213248.35529319284
20,63,43,217398.13269361685
20,64,44,221307.33781849683
20,65,45,224944.32690221674
20,66,46,228436.31861739408
20,67,47,231705.66763822126
20,68,48,234645.2614230525
20,69,49,237214.23359030066
20,70,50,239367.4352762748
20,71,51,241370.5486674637
20,72,52,243115.83158948304
20,73,53,244417.03420156232
20,74,54,245219.44942626296
20,75,55,245462.0325646584
20,76,56,245672.7070195385
20,77,57,245660.1548807093
20,78,58,245086.0817294736
20,79,59,243875.56432142126
20,80,60,241943.75967708736
20,81,61,240337.7696660238
20,82,62,238628.04545055688
20,83,63,236272.37326645965
20,84,64,233167.51452626934
20,85,65,229193.8248560111
20,86,66,226067.40693669193
20,87,67,230885.3085917934
20,88,68,237391.64128829056
20,89,69,244028.06831258486
20,90,70,250796.9536678451
20,91,71,257700.70282514175
20,92,72,264741.76344056166
20,93,73,271922.62608465034
20,94,74,279245.82498439314
20,95,75,286713.9387779503
20,96,76,294329.59128236515
20,97,77,302095.45227446663
20,98,78,310014.2382851941
20,99,79,318088.71340757265
20,100,80,326321.6901185748
20,101,81,334716.03011510515
20,102,82,343274.6451643511
20,103,83,352000.4979687456
20,104,84,360896.60304579214
20,105,85,369966.0276230078
20,106,86,379211.89254824165
20,107,87,388637.3732156348
20,108,88,398245.7005074868
20,109,89,408040.1617523051
